COMM_CODE,RE_ASSESSED_VALUE,PROPERTY_TAX
CAP,1442227165.0,5582284.464849
CAR,1845526307.0,7143294.1238742005
CAS,872650500.0,3377681.0253
CED,1275541740.0,4937111.858844
CGR,1821843840.0,7051628.767104
CHA,3019901500.0,11688830.7459
CHK,489209500.0,1893534.2907
CHN,748801945.0,2898312.808317
CHR,732016500.0,2833343.0649
CHV,514778500.0,1992501.6621
CHW,1187676000.0,4597018.7256000005
CIA,1070000.0,4141.542
CIT,2340013500.0,9057256.2531
CLI,535722870.0,2073568.940622
CNS,2952382170.0,11427490.427202
COA,1014580630.0,3927035.786478
COL,746484494.0,2889342.8824764
COR,1072296500.0,4150430.8329000003
COU,761038500.0,2945675.6181
COV,3052728000.0,11815888.9968
CPF,2930376500.0,11342315.2809
CRA,5978892000.0,23141899.3752
CRE,1933831314.0,7485087.4839684
CRM,887323068.0,3434472.6670008
CSC,1472012500.0,5697571.5825000005
CUR,927471828.0,3589872.4574568
DAL,2271245026.0,8791080.997635601
DDG,3774774500.0,14610642.1797
DIA,231515000.0,896101.959
DIS,1566177024.0,6062044.789094401
DNC,2123961302.0,8221004.6155212
DNE,1230572653.0,4763054.5107018
DNW,915449293.0,3543338.0334858
DOV,1759988310.0,6812210.752686
DRG,723477000.0,2800290.0762
DRN,1181270000.0,4572223.6620000005
EAG,273246500.0,1057627.9029
EAU,1088924500.0,4214791.1697
EDG,4509285500.0,17453640.4563
EPK,2465459300.0,9542806.76658
ERI,1040645000.0,4027920.537
ERL,474600959.0,1836990.4719054
EVE,5075081000.0,19643608.518600002
EVN,4345816000.0,16820915.4096
EYA,814258472.0,3151668.8417232
FAI,822958000.0,3185341.2348
FAL,1334911000.0,5166906.5166
FHT,809228500.0,3132199.8321
FLI,9648260.0,37344.555156
FLN,1100340951.0,4258979.6849406
FRA,755000.0,2922.303
GAG,514435500.0,1991174.0463
GAW,1121601500.0,4341270.7659
GBK,1620379000.0,6271838.9574
GDL,835744910.0,3234834.248646
GLA,1540170500.0,5961383.9373
GLR,767017497.0,2968817.9238882
GPK,4110000.0,15908.166000000001
GRE,392976000.0,1521052.9056
GRI,31360781.0,121385.03893860002
GRV,323190106.0,1250939.6242836001
HAM,2529137500.0,9789279.6075
HAR,1850188000.0,7161337.6728
HAW,2438799500.0,9439617.3447
HAY,1786563500.0,6915072.6831
HID,2495341000.0,9658466.8746
HIL,2242907150.0,8681396.41479
HIW,593477000.0,2297112.0762
HKS,273476530.0,1058518.2570180001
HOR,22440000.0,86856.264
HOU,1260485530.0,4878835.292418
HPK,1023313075.0,3960835.588095
HSD,499960500.0,1935147.1113
HSN,960873594.0,3719157.3329364
HUN,2585598500.0,10007817.5541
HUX,23129060.0,89523.33963600002
ING,1300114696.0,5032223.9423376005
KCA,1598871000.0,6188590.0926
KEL,604437000.0,2339533.8522
KIL,2557182708.0,9897831.3895848
KIN,1170478832.0,4530455.3671392
KSH,170000.0,658.0020000000001
LEB,155913250.0,603477.82545
LEG,2784852800.0,10779051.247680001
LIV,2571316140.0,9952536.251484001
LKB,3854136500.0,14917820.7369
LKV,2108504500.0,8161177.517700001
LMR,787980376.0,3049956.8433456
LPK,402935500.0,1559602.1463000001
MAC,1045035000.0,4044912.471
MAF,256259500.0,991878.0207
MAH,5433952840.0,21032657.862504
MAL,1211811025.0,4690435.753365
MAN,234721584.0,908513.3630304
MCK,3501691000.0,13553645.184600001
MCT,3864970000.0,14959752.882000001
MDH,394882590.0,1528432.5528540001
MEA,245461500.0,950083.2819000001
MID,1526962476.0,5910260.9596056
MIS,1620380378.0,6271844.2910868
MLI,74100.0,286.81146
MLR,1369500000.0,5300786.7
MNI,7226627.0,27971.3824662
MON,1314331676.0,5087252.185125601
MOP,2052549283.0,7944597.2547798
MOR,1608175000.0,6224602.155
MPK,1307588500.0,5061152.0481
MPL,624780000.0,2418273.468
MRL,1384187500.0,5357636.1375
MRN,613716320.0,2375450.388192
MRT,2112985000.0,8178519.741
NEB,2696761500.0,10438085.061900001
NGM,984854800.0,3811978.98888
NHU,173806500.0,672735.4389000001
NHV,550845144.0,2132101.2143664
NOL,1984766152.0,7682235.8679312
OAK,1635099500.0,6328816.1247000005
OGD,1636148369.0,6332875.8770514
OPH,12960200.0,50163.750120000004
PAL,909640040.0,3520852.738824
PAN,5302215800.0,20522756.47548
PAT,1500269000.0,5806941.1914
PCK,991000000.0,3835764.6
PEN,1148249500.0,4444414.5147
PIN,1542715000.0,5971232.6790000005
PKD,952195000.0,3685565.967
PKH,697977820.0,2701592.950092
PKL,1250172000.0,4838915.7432
POI,462452745.0,1789969.594797
PUM,672158500.0,2601656.6901000002
QLD,923428500.0,3574222.3521000003
QPK,42860000.0,165893.916
RAM,781116110.0,3023388.015366
RAN,1463807500.0,5665813.3095
RCK,802437863.0,3105915.9925278
RDL,908310670.0,3515707.279302
RED,245378500.0,949762.0221000001
REN,2080997013.0,8054707.0385178
RIC,1921699385.0,7438129.639581
RID,454625500.0,1759673.4603000002
RIV,2122794500.0,8216488.3917000005
RMT,419378700.0,1623247.19622
ROC,2433870700.0,9420539.93142
ROX,327674000.0,1268294.9844
ROY,2926604000.0,11327713.442400001
RRC,46236253.0,178962.0408618
RSN,1798865500.0,6962688.8043
RUN,1594509500.0,6171708.4707
RUT,520777000.0,2015719.4562000001
RVW,677658220.0,2622943.906332
RYV,80200.0,310.42212
SAD,4870979865.0,18853614.665469002
SAN,1244013000.0,4815076.7178
SAW,217500.0,841.8555
SCA,449760500.0,1740842.9913
SCE,2406139000.0,9313201.613400001
SDC,2403935000.0,9304670.811
SET,2424320957.0,9383576.6961642
SGH,3238170528.0,12533662.8456768
SHG,609423750.0,2358835.56675
SHI,27766500.0,107473.01490000001
SHN,1878940300.0,7272626.325180001
SHS,849741500.0,3289009.4499
SHW,1427500500.0,5525283.4353
SIG,4185104000.0,16198863.5424
SIL,2470015000.0,9560440.059
SKR,2747063500.0,10632783.9831
SNA,802008329.0,3104253.4382274
SOC,1588940612.0,6150153.5328072
SOM,1629113000.0,6305644.7778
SOV,359198250.0,1390312.74645
SOW,1233466696.0,4774256.1935376
SPH,4474252435.0,17318041.474911
SPR,1080104068.0,4180650.8056008
SRI,11563485.0,44757.625041
SSD,1228211447.0,4753915.2267582
SSW,200799781.0,777215.6323386
ST1,4683500.0,18127.9551
ST2,1500000.0,5805.900000000001
ST4,3125205.0,12096.418473
STA,645190500.0,2497274.3493
STD,1043760.0,4039.977456
STR,2155747500.0,8344036.2735
SVO,2050935726.0,7938351.8210556
TAR,2492376000.0,9646990.5456
TEM,1690410000.0,6542900.946
THO,1712971000.0,6630225.5526
THS,3292443.0,12743.7298758
TUS,5050826500.0,19549729.0509
TUX,1479626856.0,5727043.7088336
UMR,2027358000.0,7847091.8748
UND,828736560.0,3207707.729136
UNI,788605520.0,3052376.525712
UOC,186095500.0,720301.2423
VAF,1071500.0,4147.3479
VAL,1639748500.0,6346810.5441000005
VAR,3995380842.0,15464521.0870452
VIS,326753000.0,1264730.1618000001
WAL,2229549715.0,8629695.126879001
WBN,2280792500.0,8828035.4505
WES,586000.0,2268.1716
WGT,792236678.0,3066431.2858668
WHI,1742328000.0,6743854.756800001
WHL,2610933671.0,10105879.866972601
WIL,1692672500.0,6551658.1785
WIN,1099682956.0,4256432.8494936
WLD,1039127651.0,4022047.4859606
WND,1149626151.0,4449742.9800606
WOO,1421773000.0,5503114.5738
WSP,4070817875.0,15756507.666975
WWO,864040180.0,3344353.920708
YKV,685189000.0,2652092.5434
